GeoName,Interval Days,Keyword1_/m/01lp8,Keyword2_/m/04y29
Meridian MS,2557,88,12
Miami-Ft. Lauderdale FL,2557,82,18
Milwaukee WI,2557,80,20
Minneapolis-St. Paul MN,2557,74,26
Minot-Bismarck-Dickinson(Williston) ND,2557,83,17
Missoula MT,2557,82,18
Mobile AL-Pensacola (Ft. Walton Beach) FL,2557,84,16
Monroe LA-El Dorado AR,2557,89,11
Monterey-Salinas CA,2557,77,23
Montgomery (Selma) AL,2557,87,13
Nashville TN,2557,86,14
New Orleans LA,2557,83,17
New York NY,2557,70,30
Norfolk-Portsmouth-Newport News VA,2557,82,18
North Platte NE,2557,84,16
Odessa-Midland TX,2557,88,12
Oklahoma City OK,2557,85,15
Omaha NE,2557,82,18
Orlando-Daytona Beach-Melbourne FL,2557,82,18
Ottumwa IA-Kirksville MO,2557,85,15
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,2557,87,13
Palm Springs CA,2557,82,18
Panama City FL,2557,84,16
Parkersburg WV,2557,85,15
Peoria-Bloomington IL,2557,84,16
Philadelphia PA,2557,71,29
Phoenix AZ,2557,82,18
Pittsburgh PA,2557,78,22
Portland OR,2557,77,23
Portland-Auburn ME,2557,72,28
Presque Isle ME,2557,84,16
Providence RI-New Bedford MA,2557,76,24
Quincy IL-Hannibal MO-Keokuk IA,2557,84,16
Raleigh-Durham (Fayetteville) NC,2557,83,17
Rapid City SD,2557,86,14
Reno NV,2557,80,20
Richmond-Petersburg VA,2557,79,21
Roanoke-Lynchburg VA,2557,56,44
Rochester MN-Mason City IA-Austin MN,2557,76,24
Rochester NY,2557,76,24
Rockford IL,2557,80,20
Sacramento-Stockton-Modesto CA,2557,78,22
Salisbury MD,2557,81,19
Salt Lake City UT,2557,75,25
San Angelo TX,2557,88,12
San Antonio TX,2557,86,14
San Diego CA,2557,79,21
San Francisco-Oakland-San Jose CA,2557,71,29
Santa Barbara-Santa Maria-San Luis Obispo CA,2557,82,18
Savannah GA,2557,83,17
Seattle-Tacoma WA,2557,77,23
Sherman TX-Ada OK,2557,85,15
Shreveport LA,2557,87,13
Sioux City IA,2557,87,13
Sioux Falls(Mitchell) SD,2557,85,15
South Bend-Elkhart IN,2557,86,14
Spokane WA,2557,84,16
Springfield MO,2557,88,12
Springfield-Holyoke MA,2557,77,23
St. Joseph MO,2557,85,15
St. Louis MO,2557,80,20
Syracuse NY,2557,72,28
Tallahassee FL-Thomasville GA,2557,84,16
Tampa-St. Petersburg (Sarasota) FL,2557,82,18
Terre Haute IN,2557,86,14
Toledo OH,2557,79,21
Topeka KS,2557,84,16
Traverse City-Cadillac MI,2557,82,18
Tri-Cities TN-VA,2557,88,12
Tucson (Sierra Vista) AZ,2557,80,20
Tulsa OK,2557,75,25
Twin Falls ID,2557,80,20
Tyler-Longview(Lufkin & Nacogdoches) TX,2557,88,12
Utica NY,2557,69,31
Victoria TX,2557,87,13
Waco-Temple-Bryan TX,2557,86,14
Washington DC (Hagerstown MD),2557,72,28
Watertown NY,2557,76,24
Wausau-Rhinelander WI,2557,84,16
West Palm Beach-Ft. Pierce FL,2557,82,18
Wheeling WV-Steubenville OH,2557,83,17
Wichita Falls TX & Lawton OK,2557,87,13
Wichita-Hutchinson KS,2557,86,14
Wilkes Barre-Scranton PA,2557,78,22
Wilmington NC,2557,83,17
Yakima-Pasco-Richland-Kennewick WA,2557,85,15
Youngstown OH,2557,83,17
Yuma AZ-El Centro CA,2557,89,11
Zanesville OH,2557,84,16
