,DMA_AREA,GTBible,GTQuran,GTCatholic_Church,GTMosque,GTChristianity,GTMuslim,cbsatitle,GSSProtestantRate,GSSCatholicRate,GSSJewishRate,GSSBuddaismRate,GSSMuslimRate,GSS_AREA_from_Amy,DMA_CO,CBSA_CODE
51,Colorado Springs-Pueblo CO,97.0,3.0,91.0,9.0,85.0,15.0,1123.0,0.525423729,0.141242938,0.0,0.005649718000000001,0.005649718000000001,"Colorado Springs, CO",44.0,17820.0
52,Colorado Springs-Pueblo CO,97.0,3.0,91.0,9.0,85.0,15.0,1639.0,0.47692307700000003,0.39230769200000004,0.007692308,0.007692308,0.0,"Pueblo, CO",44.0,39380.0
53,Columbia SC,98.0,2.0,77.33333333333333,22.66666666666667,84.0,16.0,1125.0,0.868613139,0.072992701,0.00729927,0.0,0.0,"Columbia, SC",45.0,17900.0
54,Columbia-Jefferson City MO,95.0,5.0,87.0,13.0,81.0,19.0,,,,,,,,,
55,Columbus GA,98.0,2.0,84.66666666666667,15.333333333333336,85.0,15.0,1127.0,0.88372093,0.023255814,0.007751938000000001,0.0,0.0,"Columbus, GA-AL",47.0,17980.0
56,Columbus OH,91.66666666666669,8.333333333333334,75.0,25.0,76.0,24.0,1131.0,0.6214876029999999,0.188429752,0.019834711,0.0,0.004958678,"Columbus, OH",48.0,18140.0
57,Columbus-Tupelo-West Point MS,99.0,1.0,87.66666666666669,12.333333333333336,89.0,11.0,,,,,,,,,
58,Corpus Christi TX,98.0,2.0,93.66666666666669,6.333333333333332,85.0,15.0,1141.0,0.44354838700000004,0.459677419,0.0,0.0,0.0,"Corpus Christi, TX",50.0,18580.0
59,Dallas-Ft. Worth TX,96.0,4.0,74.0,26.0,82.0,18.0,1153.0,0.672309553,0.14873035099999998,0.012091898,0.00120919,0.0,"Dallas-Fort Worth-Arlington, TX",51.0,19100.0
60,Davenport IA-Rock Island-Moline IL,96.33333333333331,3.6666666666666665,91.0,9.0,81.0,19.0,,,,,,,,,
61,Dayton OH,97.0,3.0,88.0,12.0,82.0,18.0,1160.0,0.727891156,0.156462585,0.013605441999999999,0.0,0.0,"Dayton, OH",53.0,19380.0
62,Dayton OH,97.0,3.0,88.0,12.0,82.0,18.0,1653.0,0.638554217,0.072289157,0.0,0.0,0.012048193,"Richmond, IN",53.0,39980.0
63,Denver CO,95.0,5.0,86.66666666666669,13.333333333333336,80.0,20.0,1046.0,0.620689655,0.144827586,0.020689655,0.006896551999999999,0.0,"Boulder, CO",54.0,14500.0
64,Denver CO,95.0,5.0,86.66666666666669,13.333333333333336,80.0,20.0,1169.0,0.47241379299999997,0.205172414,0.032758621,0.013793103000000001,0.0017241379999999998,"Denver-Aurora-Lakewood, CO",54.0,19740.0
65,Des Moines-Ames IA,96.0,4.0,89.0,11.0,82.0,18.0,1170.0,0.655256724,0.200488998,0.004889976,0.007334963000000001,0.004889976,"Des Moines-West Des Moines, IA",55.0,19780.0
66,Detroit MI,90.66666666666669,9.333333333333334,76.0,24.0,71.0,29.0,1171.0,0.501557632,0.29802699899999996,0.01973001,0.002076843,0.007268951,"Detroit-Warren-Dearborn, MI",56.0,19820.0
67,Dothan AL,99.0,1.0,91.0,9.0,89.0,11.0,,,,,,,,,
68,Duluth MN-Superior WI,96.66666666666669,3.333333333333333,91.0,9.0,80.0,20.0,,,,,,,,,
