DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/01lp8,Keyword2_/m/04y29
2012-01-01,2018-12-31,2557,North Platte NE,84,16
2012-01-01,2018-12-31,2557,Odessa-Midland TX,88,12
2012-01-01,2018-12-31,2557,Oklahoma City OK,85,15
2012-01-01,2018-12-31,2557,Omaha NE,82,18
2012-01-01,2018-12-31,2557,Orlando-Daytona Beach-Melbourne FL,82,18
2012-01-01,2018-12-31,2557,Ottumwa IA-Kirksville MO,85,15
2012-01-01,2018-12-31,2557,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,87,13
2012-01-01,2018-12-31,2557,Palm Springs CA,82,18
2012-01-01,2018-12-31,2557,Panama City FL,84,16
2012-01-01,2018-12-31,2557,Parkersburg WV,85,15
2012-01-01,2018-12-31,2557,Peoria-Bloomington IL,84,16
2012-01-01,2018-12-31,2557,Philadelphia PA,71,29
2012-01-01,2018-12-31,2557,Phoenix AZ,82,18
2012-01-01,2018-12-31,2557,Pittsburgh PA,78,22
2012-01-01,2018-12-31,2557,Portland OR,77,23
2012-01-01,2018-12-31,2557,Portland-Auburn ME,72,28
2012-01-01,2018-12-31,2557,Presque Isle ME,84,16
2012-01-01,2018-12-31,2557,Providence RI-New Bedford MA,76,24
2012-01-01,2018-12-31,2557,Quincy IL-Hannibal MO-Keokuk IA,84,16
2012-01-01,2018-12-31,2557,Raleigh-Durham (Fayetteville) NC,83,17
2012-01-01,2018-12-31,2557,Rapid City SD,86,14
2012-01-01,2018-12-31,2557,Reno NV,80,20
2012-01-01,2018-12-31,2557,Richmond-Petersburg VA,79,21
2012-01-01,2018-12-31,2557,Roanoke-Lynchburg VA,56,44
2012-01-01,2018-12-31,2557,Rochester MN-Mason City IA-Austin MN,76,24
2012-01-01,2018-12-31,2557,Rochester NY,76,24
2012-01-01,2018-12-31,2557,Rockford IL,80,20
2012-01-01,2018-12-31,2557,Sacramento-Stockton-Modesto CA,78,22
2012-01-01,2018-12-31,2557,Salisbury MD,81,19
2012-01-01,2018-12-31,2557,Salt Lake City UT,75,25
2012-01-01,2018-12-31,2557,San Angelo TX,88,12
2012-01-01,2018-12-31,2557,San Antonio TX,86,14
2012-01-01,2018-12-31,2557,San Diego CA,79,21
